"STATION","NAME","DATE","AWND","FMTM","PGTM","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-01",,," 0442",,"48","34",,,,"  360",,,,,"25.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-02",,," 2218",,"47","29",,,,"   68",,,,,"18.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-03",,," 1430",,"53","38",,,,"  293",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-04",,," 0336",,"56","33",,,,"   68",,,,,"20.8",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-05",,," 1706",,"52","35",,,,"  293",,,,,"16.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-06",,," 1648",,"52","40",,,,"  293",,,,,"12.8",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-07",,," 2148",,"62","47",,,,"  203",,,,,"24.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-08",,," 0548",,"54","49",,,,"  225",,,,,"19.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-09",,," 1124",,"51","46",,,,"   45",,,,,"30.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-10",,," 1118",,"55","45",,,,"  113",,,,,"17.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-11",,," 1824",,"55","44",,,,"  293",,,,,"39.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-12",,," 0224",,"53","40",,,,"  293",,,,,"25.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-13",,," 2306",,"50","35",,,,"  158",,,,,"30.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-14",,," 1342",,"50","38",,,,"  135",,,,,"23.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-15",,," 0142",,"53","39",,,,"   23",,,,,"21.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-16",,," 1636",,"55","36",,,,"  293",,,,,"21.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-17",,," 1424",,"55","37",,,,"  248",,,,,"17.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-18",,," 1430",,"49","41",,,,"   23",,,,,"10.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-19",,," 0954",,"53","40",,,,"  113",,,,,"10.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-20",,," 1954",,"58","43",,,,"  113",,,,,"20.8",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-21",,," 1536",,"55","50",,,,"  180",,,,,"39.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-22",,," 1524",,"61","49",,,,"  225",,,,,"19.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-23",,," 2054",,"59","46",,,,"   45",,,,,"10.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-24",,," 1242",,"61","49",,,,"  180",,,,,"31.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-25",,," 1242",,"62","53",,,,"  203",,,,,"32.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-26",,," 1506",,"60","50",,,,"  203",,,,,"17.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-27",,," 1036",,"61","48",,,,"  180",,,,,"20.8",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-28",,," 1900",,"60","48",,,,"  293",,,,,"10.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-29",,," 1512",,"64","45",,,,"  203",,,,,"13.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-30",,," 2212",,"63","49",,,,"  135",,,,,"9.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-31",,," 0930",,"59","46",,,,"  135",,,,,"21.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-01",,," 1042",,"62","51",,,,"  203",,,,,"54.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-02",,," 0142",,"59","46",,,,"  293",,,,,"23.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-03",,," 1148",,"58","47",,,,"  203",,,,,"40.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-04",,," 2318",,"58","43",,,,"  180",,,,,"19.5",
